Time(yr),V_ho_0K(km3),V_ho_3K(km3),V_ho_4.5K(km3),V_ho_6K(km3),V_ho_12K(km3)
0,26249,26249,26249,26248,26247
10,26154,26111,26185,26043,25842
20,26153,26060,26096,25824,25412
30,26056,26106,26004,25769,24846
40,26138,26044,25904,25729,24275
50,26229,25983,25702,25603,23541
60,26215,25815,25718,25366,22794
70,26200,25864,25636,25456,22070
80,26082,25701,25449,25192,21374
90,26170,25874,25476,25039,20846
100,26269,25711,25283,24886,20352
110,26140,25666,25196,24990,19505
120,26126,25736,25222,24698,18685
130,26110,25821,25254,24684,18264
140,26336,25785,25295,24267,17695
150,26081,25614,25077,24244,17155
160,26307,25571,24991,24101,16852
170,26053,25526,24902,23958,16361
180,26039,25359,24953,23816,16117
190,26140,25318,24730,23829,15207
200,26127,25400,24648,23694,15218
210,26115,25492,24570,23417,14550
220,26103,25318,24490,23441,14130
230,25979,25407,24407,23482,13956
240,26084,25364,24330,23190,13552
250,26077,25326,24396,22914,13157
260,25956,25288,24182,22952,13022
270,26062,25246,24253,22672,12394
280,26179,25205,24040,22709,12020
290,26046,25166,24109,22760,11653
300,26162,25129,24197,22642,11294
310,26026,24961,24133,22188,10713
320,26016,25059,23910,22413,10364
330,25894,25170,23843,22297,10242
340,26122,24989,23772,22375,9903
350,25988,24953,23869,22069,9352
360,26240,25059,23651,21960,9022
370,26094,24876,23753,21662,8695
380,26087,24990,23867,21744,8375
390,26080,24813,23468,21637,8058
400,26073,24782,23742,21343,7563
410,25942,24751,23509,21437,7258
420,26060,24719,23630,21343,6957
430,26053,24686,23395,21456,6662
440,26047,24801,23514,21155,6371
450,26041,24771,23454,21061,6084
460,26171,24743,23392,20772,5800
470,26030,24715,23155,20884,5391
480,26160,24849,23280,21013,5124
490,26155,24509,22868,20934,4982
500,26014,24796,22978,20853,       NaN
510,26144,24608,22916,21011,       NaN
520,25880,24582,23049,20700,       NaN
530,25999,24555,22997,20396,       NaN
540,25994,24526,22945,20544,       NaN
550,26125,24346,23092,20241,       NaN
560,26121,24468,22646,20390,       NaN
570,26116,24443,22988,20089,       NaN
580,26112,24418,22543,20485,       NaN
590,26106,24557,22681,20416,       NaN
600,26247,24532,22628,20108,       NaN
610,25958,24506,22381,20041,       NaN
620,26087,24657,22730,19739,       NaN
630,25946,24630,22471,20158,       NaN
640,26222,24428,22417,20093,       NaN
650,26216,24406,22363,19775,       NaN
660,26210,24383,22116,19708,       NaN
670,25922,24359,22263,19643,       NaN
680,26051,24169,22012,19576,       NaN
690,26192,24313,22162,19508,       NaN
700,26040,24289,22120,19450,       NaN
710,26034,24266,22078,19390,       NaN
720,26027,24242,22249,19330,       NaN
730,26021,24221,21989,19024,       NaN
740,26016,24381,22163,19212,       NaN
750,26158,24360,22123,18906,       NaN
760,26154,23989,21658,18845,       NaN
770,26150,24135,21822,18785,       NaN
780,26146,24113,21779,18729,       NaN
790,26300,24275,21742,18923,       NaN
800,25992,23904,21926,18611,       NaN
810,25988,24432,21666,18552,       NaN
820,26130,24413,21626,18496,       NaN
830,26127,24016,21585,18697,       NaN
840,25977,23996,21549,18386,       NaN
850,26277,24160,21514,18330,       NaN
860,26273,24337,21265,18031,       NaN
870,26112,24121,21442,17976,       NaN
880,26109,24101,21405,17920,       NaN
890,26263,24278,21152,17864,       NaN
900,26102,24061,21118,17813,       NaN
910,26099,24041,21300,17521,       NaN
920,26253,24019,21266,17705,       NaN
930,26093,23996,21231,17409,       NaN
940,26090,24171,21193,17357,       NaN
950,26087,24151,21386,17305,       NaN
960,26084,23931,21122,17252,       NaN
970,26238,23722,21088,17201,       NaN
980,26235,23888,21055,17152,       NaN
990,26401,23678,21021,17106,       NaN
1000,26398,23656,20765,16824,       NaN
1010,26226,23634,20730,16772,       NaN
1020,26224,23612,20922,16719,       NaN
1030,26221,23778,20668,16670,       NaN
1040,26218,23756,20862,16620,       NaN
1050,26216,23734,20832,16569,       NaN
1060,26213,23711,20800,16518,       NaN
1070,26379,23688,20767,16705,       NaN
1080,26208,23476,20733,16189,       NaN
1090,26374,23646,20945,16141,       NaN
1100,26371,23628,20447,16320,       NaN
1110,26200,23611,20418,16039,       NaN
1120,26198,23594,20388,15986,       NaN
1130,26196,23577,20357,15938,       NaN
1140,26193,23560,20327,15894,       NaN
1150,26359,23748,20294,15850,       NaN
1160,26188,23525,20265,15584,       NaN
1170,26186,23505,20237,15536,       NaN
1180,26352,23486,20209,15491,       NaN
1190,26350,23466,20180,15448,       NaN
1200,26348,23446,20151,15402,       NaN
1210,26345,23426,20121,15354,       NaN
1220,26343,23405,20091,15305,       NaN
1230,26341,23592,19840,15045,       NaN
1240,26339,23364,20038,15212,       NaN
1250,26337,23555,19785,14950,       NaN
1260,26335,23330,19756,14902,       NaN
1270,26333,23312,19728,14853,       NaN
1280,26510,23295,19699,14805,       NaN
1290,26329,23277,19670,14556,       NaN
1300,26506,23061,19640,14715,       NaN
1310,26325,23241,19616,14463,       NaN
1320,26323,23223,19591,14416,       NaN
1330,26321,23205,19347,14579,       NaN
1340,26319,22987,19769,14137,       NaN
1350,26317,23167,19510,14096,       NaN
1360,26494,22946,19483,14250,       NaN
1370,26493,22924,19454,14208,       NaN
1380,26312,23107,19426,14165,       NaN
1390,26310,23090,19404,13927,       NaN
1400,26308,23073,19160,14297,       NaN
1410,26306,22854,19137,13844,       NaN
1420,26305,23038,19114,13799,       NaN
1430,26303,23235,19090,13953,       NaN
1440,26480,23002,19065,13710,       NaN
1450,26479,22984,18826,13669,       NaN
1460,26298,23181,18799,13627,       NaN
1470,26296,22947,18991,13583,       NaN
1480,26474,22928,18755,13348,       NaN
1490,26293,22704,18731,13301,       NaN
1500,26291,22686,18920,13261,       NaN
