Time(yr),V_sia_0K(km3),V_sia_3K(km3),V_sia_4.5K(km3),V_sia_6K(km3),V_sia_12K(km3)
0,26146,26146,26146,26145,26144
10,26376,26332,26301,26267,26047
20,26380,26289,26227,26146,25626
30,26383,26250,26144,26009,25059
40,26385,26201,26055,25878,24373
50,26387,26153,25962,25751,23632
60,26391,26103,25890,25628,22885
70,26394,26054,25808,25488,22156
80,26396,26005,25732,25353,21457
90,26397,25957,25660,25202,20765
100,26397,25918,25580,25051,20073
110,26396,25882,25490,24899,19395
120,26395,25843,25414,24746,18742
130,26393,25799,25334,24594,18127
140,26278,25755,25248,24448,17542
150,26275,25715,25165,24294,16991
160,26272,25683,25080,24157,16679
170,26269,25647,24997,24014,16178
180,26265,25611,24917,23875,15698
190,26260,25574,24840,23743,15238
200,26256,25535,24760,23614,14793
210,26251,25502,24680,23476,14364
220,26245,25469,24612,23354,13951
230,26240,25437,24542,23229,13548
240,26234,25402,24468,23106,13153
250,26228,25365,24389,22988,12765
260,26223,25329,24321,22867,12384
270,26217,25296,24258,22743,12011
280,26211,25262,24194,22624,11648
290,26204,25228,24128,22510,11289
300,26198,25196,24058,22394,10935
310,26192,25166,23996,22274,10374
320,26186,25136,23939,22158,10036
330,26179,25107,23885,22045,9701
340,26173,25076,23829,21933,9370
350,26167,25045,23770,21821,8857
360,26160,25020,23709,21702,8541
370,26154,24995,23646,21592,8228
380,26148,24971,23593,21477,7757
390,26141,24947,23540,21542,7453
400,26135,24923,23486,21433,7156
410,26129,24897,23430,21335,6864
420,26123,24869,23373,21236,6578
430,26116,24841,23314,21143,6295
440,26110,24818,23254,21047,6147
450,26104,24795,23201,20956,5867
460,26098,24772,23147,20866,5591
470,26091,24749,23091,20778,5321
480,26085,24728,23033,20689,5057
490,26079,24709,22980,20596,4912
500,26073,24691,22925,20513,4654
510,26067,24674,22875,20430,4401
520,26060,24658,22826,20353,4156
530,26054,24641,22778,20277,3918
540,26048,24624,22729,20197,3779
550,26042,24608,22679,20125,3550
560,26037,24592,22626,20051,3330
570,26031,24576,22575,19977,3203
580,26025,24557,22527,19908,2994
590,26019,24538,22478,19836,2795
600,26014,24519,22428,19558,2606
610,26008,24500,22377,19487,2494
620,26002,24476,22325,19415,2323
630,26106,24452,22278,19349,2159
640,26101,24427,22230,19289,2009
650,26095,24404,22180,19225,1925
660,26090,24382,22129,19158,1792
670,26085,24363,22076,19095,1668
680,26080,24343,22028,19032,1555
690,26074,24324,21981,18968,1498
700,26069,24304,21933,18908,1399
710,26064,24284,21886,18847,1306
720,26059,24265,21837,18784,1219
730,26055,24245,21794,18723,1177
740,26050,24224,21752,18456,1097
750,26045,24203,21710,18397,1021
760,26040,24186,21667,18334,987
770,26036,24170,21622,18274,916
780,26031,24155,21584,18216,850
790,26026,24140,21546,18156,786
800,26022,24124,21503,18098,724
810,26017,24107,21457,18048,665
820,26013,24090,21410,17792,609
830,26009,24072,21370,17738,556
840,26004,24054,21330,17683,505
850,26000,24036,21290,17636,456
860,25996,24017,21250,17588,409
870,25992,23998,21207,17538,347
880,25988,23983,21167,17485,306
890,25984,24110,21130,17435,269
900,25980,24096,21093,17184,222
910,25976,24083,21054,17131,190
920,25972,24070,21015,17077,161
930,25968,24056,20975,17027,133
940,25964,24043,20941,16979,103
950,25960,24030,20906,16929,82
960,25956,24017,20870,16877,63
970,25953,24004,20833,16632,46
980,26068,23991,20616,16582,32
990,26064,23978,20577,16533,20
1000,26061,23965,20544,16483,11
1010,26057,23951,20511,16437,4
1020,26054,23938,20475,16393,0
1030,26050,23925,20439,16350,0
1040,26047,23911,20401,16122,0
1050,26044,23898,20362,16078,0
1060,26040,23884,20328,16034,0
1070,26037,23868,20295,15988,0
1080,26034,23852,20261,15949,0
1090,26031,23835,20227,15910,0
1100,26027,23673,20193,15869,0
1110,26024,23655,20158,15648,0
1120,26021,23640,20125,15603,0
1130,26018,23625,20096,15560,0
1140,26015,23612,19891,15520,0
1150,26012,23598,19861,15476,0
1160,26009,23585,19831,15432,0
1170,26006,23572,19801,15387,0
1180,26003,23559,19769,15169,0
1190,26001,23545,19737,15122,0
1200,25998,23532,19709,15077,0
1210,25995,23519,19680,15033,0
1220,25992,23506,19652,14987,0
1230,25990,23493,19622,14940,0
1240,25987,23480,19593,14894,0
1250,25984,23467,19562,14853,0
1260,25982,23453,19533,14652,0
1270,25979,23440,19508,14612,0
1280,25976,23426,19309,14572,0
1290,25974,23413,19281,14531,0
1300,25971,23399,19252,14488,0
1310,25969,23385,19222,14449,0
1320,25967,23370,19192,14413,0
1330,25964,23356,19163,14378,0
1340,25962,23340,19137,14185,0
1350,25959,23322,19112,14144,0
1360,25957,23305,19087,14102,0
1370,25955,23289,19062,14063,0
1380,25953,23275,19033,14027,0
1390,25950,23260,19004,13992,0
1400,25948,23247,18974,13956,0
1410,25946,23233,18781,13918,0
1420,25944,23219,18756,13733,0
1430,25942,23205,18731,13693,0
1440,25940,23191,18706,13655,0
1450,25937,23177,18681,13615,0
1460,25935,23163,18655,13575,0
1470,25933,23149,18628,13533,0
1480,26061,23134,18600,13491,0
1490,26059,23120,18575,13446,0
1500,26057,23105,18550,13271,0
1510,26055,23090,18526,13234,0
1520,26053,23074,18502,13198,0
1530,26051,23059,18477,13161,0
1540,26049,23043,18452,13124,0
1550,26048,23029,18264,13085,0
1560,26046,23013,18237,13049,0
1570,26044,22999,18214,13017,0
1580,26042,22984,18192,12986,0
1590,26041,22970,18171,12954,0
1600,26039,22957,18147,12788,0
1610,26037,22944,18123,12752,0
1620,26036,22931,18098,12714,0
1630,26034,22918,18072,12680,0
1640,26032,22905,18046,12648,0
1650,26031,22892,18019,12617,0
1660,26029,22879,17999,12585,0
1670,26027,22866,17978,12553,0
1680,26026,22853,17957,12520,0
1690,26024,22840,17936,12361,0
1700,26023,22827,17758,12327,0
1710,26021,22813,17736,12295,0
1720,26020,22800,17711,12264,0
1730,26018,22786,17684,12232,0
1740,26017,22772,17661,12199,0
1750,26015,22758,17639,12165,0
1760,26014,22743,17618,12127,0
1770,26013,22728,17597,12092,0
1780,26011,22713,17576,12060,0
1790,26010,22698,17555,11914,0
1800,26009,22682,17534,11882,0
1810,26007,22669,17511,11850,0
1820,26006,22657,17488,11818,0
1830,26005,22646,17468,11785,0
1840,26003,22635,17298,11751,0
1850,26002,22475,17278,11722,0
1860,26001,22464,17257,11695,0
1870,25999,22450,17237,11668,0
1880,25998,22436,17216,11638,0
1890,25997,22422,17195,11607,0
1900,25996,22407,17173,11576,0
1910,25994,22393,17151,11438,0
1920,25993,22379,17128,11404,0
1930,25992,22364,17108,11377,0
1940,25991,22349,17090,11350,0
1950,25990,22333,17073,11323,0
1960,25989,22318,17056,11296,0
1970,25988,22302,17039,11268,0
1980,25986,22285,17021,11236,0
1990,25985,22268,16856,11204,0
2000,25984,22255,16835,11171,0
2010,25983,22242,16814,11143,0
2020,25982,22230,16792,11116,0
2030,25981,22218,16770,10991,0
2040,25980,22206,16752,10963,0
2050,25979,22194,16735,10935,0
2060,25978,22182,16718,10909,0
2070,25977,22170,16701,10878,0
2080,25976,22158,16684,10845,0
2090,25975,22146,16667,10816,0
2100,25974,22134,16650,10789,0
2110,25973,22121,16632,10762,0
2120,25972,22106,16614,10736,0
2130,25971,22090,16596,10710,0
2140,25970,22075,16437,10683,0
2150,25969,22058,16419,10656,0
2160,25968,22042,16402,10539,0
2170,25967,22024,16385,10510,0
2180,25967,22012,16368,10484,0
2190,25966,22000,16352,10458,0
2200,25965,21987,16335,10432,0
2210,25964,21975,16319,10407,0
2220,25963,21963,16302,10381,0
2230,25962,21951,16284,10354,0
2240,25961,21939,16267,10327,0
2250,25961,21927,16249,10299,0
2260,25960,21915,16231,10273,0
2270,25959,21903,16217,10249,0
2280,25958,21890,16201,10226,0
2290,25957,21729,16188,10200,0
2300,25957,21716,16041,10093,0
2310,25956,21702,16024,10066,0
2320,25955,21687,16008,10040,0
2330,25954,21673,15992,10012,0
2340,25954,21661,15975,9986,0
2350,25953,21651,15958,9959,0
2360,25952,21641,15941,9935,0
2370,25951,21629,15924,9912,0
2380,25951,21617,15906,9890,0
2390,25950,21605,15888,9868,0
2400,25949,21593,15870,9843,0
2410,25949,21581,15855,9817,0
2420,25948,21569,15841,9792,0
2430,25947,21557,15828,9766,0
2440,25947,21544,15815,9739,0
2450,25946,21532,15801,9712,0
2460,25945,21519,15788,9616,0
2470,25945,21506,15649,9594,0
2480,25944,21493,15633,9573,0
2490,25943,21479,15616,9551,0
2500,25943,21465,15600,9530,0
2510,25942,21451,15582,9508,0
2520,25941,21441,15565,9483,0
2530,25941,21431,15547,9457,0
2540,25940,21422,15529,9431,0
2550,25940,21413,15510,9403,0
2560,25939,21404,15496,9380,0
2570,25939,21395,15482,9358,0
2580,25938,21386,15469,9337,0
